_,Id,Name,RecordTypeId,hed__Contact__c,hed__Course_Offering__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Grade__c,hed__Primary__c,hed__Program_Enrollment__c,hed__Status__c,hed__Credentialing_Identifier__c,hed__Display_Grade__c,hed__Verification_Status_Date__c,hed__Verification_Status__c,Amount__c,Birthdate__c,Cart_ID__c,Cart_Item__c,Course_Code__c,Course_Offering_End_Date__c,Course_Offering_Name__c,Course_Offering_Start_Date__c,Course_Primary_Delivery_Platform__c,External_Key__c,Facilitator_Bio__c,First_Name__c,Gender__c,IsActive__c,Is_Group_Registered__c,LMS_Integration_Status__c,Marks_Description__c,Marks__c,Nominated_Student_ID__c,Offering_End_Date__c,Offering_Start_Date__c,Paid_in_Full__c,Payment_Method__c,Pricing_Validation__c,Program_Offering__c,Purchased_Price__c,QUT_Student_ID__c,Recordtype_Name__c,Salutation__c,Transaction_ID__c,Certificate_Type__c,Course_Name__c,Paid_Amount__c,Attempt_No__c,Class_Registration_Start_Date__c,Course_Offering_Term_Name__c,Course__c,Enrollment_Stage__c,Enrollment_Status_Date__c,Enrollment_Status__c,Migration_Id__c,Requires_Class_Registration__c,Student_Has_Registered_For_Class__c
[hed__Course_Enrollment__c],a098q0000007pPIAAY,CC-0016,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6mEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0005,11/22/22,Building a High-Performing Team: The Eight Characteristics of Winning Teams,11/22/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,11/22/22,11/22/22,,,,,,,Faculty,MR,,Certificate of Participation,Building a High-Performing Team: The Eight Characteristics of Winning Teams,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPJAAY,CC-0017,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6nEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0006,10/19/22,Business Process Data Analytics,10/11/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/19/22,10/11/22,,,,,,,Faculty,MR,,Certificate of Participation,Business Process Data Analytics,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPKAAY,CC-0018,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6oEAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0007,6/22/22,Business Process Modelling with BPMN & Improvement - Virtual,6/14/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,6/22/22,6/14/22,,,,,,,Faculty,MR,,Certificate of Participation,Business Process Modelling with BPMN & Improvement - Virtual,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPLAAY,CC-0019,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6pEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0008,11/11/22,Business Process Modelling with BPMN & Improvement,11/8/22,,,,Anthony,,FALSE,FALSE,,,,,11/11/22,11/8/22,,,,,,,Faculty,MR,,Certificate of Participation,Business Process Modelling with BPMN & Improvement,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPMAAY,CC-0020,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6qEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0009,10/14/22,CARRS-Q: Investigation & Treatment of Crash Locations,10/13/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/14/22,10/13/22,,,,,,,Faculty,MR,,Certificate of Participation,CARRS-Q: Investigation & Treatment of Crash Locations,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPNAAY,CC-0021,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6rEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0010,10/12/22,CARRS-Q: Road Safety Audit,10/10/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/12/22,10/10/22,,,,,,,Faculty,MR,,Certificate of Participation,CARRS-Q: Road Safety Audit,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPOAAY,CC-0022,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6sEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0011,10/27/22,Compelling Copywriting for Print & Digital,10/27/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/27/22,10/27/22,,,,,,,Faculty,MR,,Certificate of Participation,Compelling Copywriting for Print & Digital,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPPAAY,CC-0023,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6tEAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0012,6/7/22,Contract Law for Non-Lawyers,6/6/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,6/7/22,6/6/22,,,,,,,Faculty,MR,,Certificate of Participation,Contract Law for Non-Lawyers,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPQAAY,CC-0024,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6uEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0012,11/1/22,Contract Law for Non-Lawyers,10/31/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,11/1/22,10/31/22,,,,,,,Faculty,MR,,Certificate of Participation,Contract Law for Non-Lawyers,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPRAAY,CC-0025,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6vEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0013,8/7/22,Creating Apps in the Classroom,7/11/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Not-Ready,,,,8/7/22,7/11/22,,,,,,,Faculty,MR,,Certificate of Participation,Creating Apps in the Classroom,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPSAAY,CC-0026,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6wEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0014,7/26/22,Creating Publications that Cut Through and Inspire Action,7/26/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,7/26/22,7/26/22,,,,,,,Faculty,MR,,Certificate of Participation,Creating Publications that Cut Through and Inspire Action,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPTAAY,CC-0027,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce6xEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0015,7/19/22,Data Analytics and Machine Learning for Decision Making,7/19/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,7/19/22,7/19/22,,,,,,,Faculty,MR,,Certificate of Participation,Data Analytics and Machine Learning for Decision Making,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPUAAY,CC-0028,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce6yEAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0016,6/15/22,Introduction to Storytelling with Data,6/15/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,6/15/22,6/15/22,,,,,,,Faculty,MR,,Certificate of Participation,Introduction to Storytelling with Data,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPVAAY,CC-0029,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce6zEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0016,10/21/22,Introduction to Storytelling with Data,10/21/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/21/22,10/21/22,,,,,,,Faculty,MR,,Certificate of Participation,Introduction to Storytelling with Data,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPWAAY,CC-0030,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce70EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0017,10/5/22,Empowered Decision Making,10/5/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/5/22,10/5/22,,,,,,,Faculty,MR,,Certificate of Participation,Empowered Decision Making,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPXAAY,CC-0031,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce71EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0018,6/21/22,Developing Emotional Intelligence,6/20/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,6/21/22,6/20/22,,,,,,,Faculty,MR,,Certificate of Participation,Developing Emotional Intelligence,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPYAAY,CC-0032,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce72EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0018,10/25/22,Developing Emotional Intelligence,10/25/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/25/22,10/25/22,,,,,,,Faculty,MR,,Certificate of Participation,Developing Emotional Intelligence,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPZAAY,CC-0033,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce73EAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0020,7/8/22,Financial Literacy for Public Sector Business Managers,6/7/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,7/8/22,6/7/22,,,,,,,Faculty,MR,,Certificate of Participation,Financial Literacy for Public Sector Business Managers,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPaAAI,CC-0034,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce74EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0021,8/14/22,First Nations' Perspectives for Teaching and Learning,7/18/22,Blackboard,,,Anthony,,FALSE,FALSE,Success,,,,8/14/22,7/18/22,,,,,,,Faculty,MR,,Certificate of Participation,First Nations' Perspectives for Teaching and Learning,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPbAAI,CC-0035,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce75EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0021,11/27/22,First Nations' Perspectives for Teaching and Learning,10/17/22,Blackboard,,,Anthony,,FALSE,FALSE,Success,,,,11/27/22,10/17/22,,,,,,,Faculty,MR,,Certificate of Participation,First Nations' Perspectives for Teaching and Learning,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPcAAI,CC-0036,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce76EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0024,6/19/22,Inclusive Education: Core concepts and essential knowledge,5/23/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,6/19/22,5/23/22,,,,,,,Faculty,MR,,Certificate of Participation,Inclusive Education: Core concepts and essential knowledge,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPdAAI,CC-0037,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce77EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0024,8/28/22,Inclusive Education: Core concepts and essential knowledge,8/1/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,8/28/22,8/1/22,,,,,,,Faculty,MR,,Certificate of Participation,Inclusive Education: Core concepts and essential knowledge,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPeAAI,CC-0038,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce78EAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0025,6/19/22,Inclusive Strategies for the Autism spectrum,5/23/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,6/19/22,5/23/22,,,,,,,Faculty,MR,,Certificate of Participation,Inclusive Strategies for the Autism spectrum,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPfAAI,CC-0039,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce79EAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0026,8/1/22,Indigenous Perspectives and Knowledges in Learning and Teaching,7/25/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,8/1/22,7/25/22,,,,,,,Faculty,MR,,Certificate of Participation,Indigenous Perspectives and Knowledges in Learning and Teaching,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPgAAI,CC-0040,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7AEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0027,8/7/22,Innovative Thinking for Teachers & School Leaders,7/11/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Not-Ready,,,,8/7/22,7/11/22,,,,,,,Faculty,MR,,Certificate of Participation,Innovative Thinking for Teachers & School Leaders,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPhAAI,CC-0041,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7BEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0030,10/20/22,Leadership in the Digital Age,10/20/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/20/22,10/20/22,,,,,,,Faculty,MR,,Certificate of Participation,Leadership in the Digital Age,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPiAAI,CC-0042,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7CEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0032,8/4/22,"Leadership, Coaching & Culture",7/21/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,8/4/22,7/21/22,,,,,,,Faculty,MR,,Certificate of Participation,"Leadership, Coaching & Culture",0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPjAAI,CC-0043,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7DEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0033,9/7/22,Leading Change and Growth Through the power of conversation,9/7/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,9/7/22,9/7/22,,,,,,,Faculty,MR,,Certificate of Participation,Leading Change and Growth Through the power of conversation,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPkAAI,CC-0044,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7EEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0034,8/31/22,Lean Six Sigma Green Belt - Virtual,8/23/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,8/31/22,8/23/22,,,,,,,Faculty,MR,,Certificate of Participation,Lean Six Sigma Green Belt - Virtual,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPlAAI,CC-0045,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7FEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0034,10/26/22,Lean Six Sigma Green Belt - Virtual,10/18/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,10/26/22,10/18/22,,,,,,,Faculty,MR,,Certificate of Participation,Lean Six Sigma Green Belt - Virtual,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPmAAI,CC-0046,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7GEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0035,6/17/22,Lean Six Sigma Green Belt,6/14/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,6/17/22,6/14/22,,,,,,,Faculty,MR,,Certificate of Participation,Lean Six Sigma Green Belt,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPnAAI,CC-0047,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7HEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0035,11/4/22,Lean Six Sigma Green Belt,11/1/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,11/4/22,11/1/22,,,,,,,Faculty,MR,,Certificate of Participation,Lean Six Sigma Green Belt,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPoAAI,CC-0048,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7IEAS,,,,TRUE,,,,,,,,3/11/86,,,EXOS0036,5/26/22,Mastering Data Visualisation for Marketing and Communications,5/26/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,5/26/22,5/26/22,,,,,,,Faculty,MR,,Certificate of Participation,Mastering Data Visualisation for Marketing and Communications,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPpAAI,CC-0049,0128q0000004JlpAAE,0038r00000450RiAAI,a0B8q000000Ce7JEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0036,11/23/22,Mastering Data Visualisation for Marketing and Communications,11/22/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,11/23/22,11/22/22,,,,,,,Faculty,MR,,Certificate of Participation,Mastering Data Visualisation for Marketing and Communications,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPqAAI,CC-0050,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7KEAS,,,,TRUE,,,,,,,,3/11/86,,,EXOS0037,6/1/22,Maximising your Influence as a Leader,6/1/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,6/1/22,6/1/22,,,,,,,Faculty,MR,,Certificate of Participation,Maximising your Influence as a Leader,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPrAAI,CC-0051,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7LEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0037,11/30/22,Maximising your Influence as a Leader,11/30/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,11/30/22,11/30/22,,,,,,,Faculty,MR,,Certificate of Participation,Maximising your Influence as a Leader,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPsAAI,CC-0052,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7MEAS,,,,FALSE,,,,,,,,3/11/86,,,EXOS0038,11/27/22,Mentoring Beginning Teachers,10/17/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,11/27/22,10/17/22,,,,,,,Faculty,MR,,Certificate of Participation,Mentoring Beginning Teachers,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPtAAI,CC-0053,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7NEAS,,,,TRUE,,,,,,,,3/11/86,,,EXOS0039,8/15/22,Modern Chinese Language Course: Level 1,6/6/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,8/15/22,6/6/22,,,,,,,Faculty,MR,,Certificate of Participation,Modern Chinese Language Course: Level 1,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPuAAI,CC-0054,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7OEAS,,,,TRUE,,,,,,,,3/11/86,,,EXOS0039,8/16/22,Modern Chinese Language Course: Level 1,6/7/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,8/16/22,6/7/22,,,,,,,Faculty,MR,,Certificate of Participation,Modern Chinese Language Course: Level 1,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPvAAI,CC-0055,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7PEAS,,,,TRUE,,,,,,,,3/11/86,,,EXOS0040,8/18/22,Modern Chinese Language Course: Level 2,6/9/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,8/18/22,6/9/22,,,,,,,Faculty,MR,,Certificate of Participation,Modern Chinese Language Course: Level 2,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPwAAI,CC-0056,0128q0000004JlpAAE,0038r0000040Ua6AAE,a0B8q000000Ce7QEAS,,,,TRUE,,,,,,,,3/11/86,,,EXOS0040,8/18/22,Modern Chinese Language Course: Level 2,6/9/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,8/18/22,6/9/22,,,,,,,Faculty,MR,,Certificate of Participation,Modern Chinese Language Course: Level 2,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
