$$Name$QUT_Staff_Email__c,Account.Name,AccountId,Birthdate,Company_Name__c,ContactMobile_Validation__c,Description,Email,FirstName,hed__Chosen_Full_Name__c,hed__Primary_Organization__c,hed__Primary_Organization__r.Name,Id,LastName,Migration_Key__c,MobilePhone,Name,QUT_Employee_ID__c,QUT_Identity_ID__c,QUT_Staff_Email__c,QUT_Student_ID__c,Salutation,Work_Email__c
Darcy Lewis,Lewis (Darcy) Administrative Account,001AD00000U2k2pYAB,,,None,,qut.automation+lewisstaff@gmail.com,Darcy,,,,003AD00000Rx12hYAB,Lewis,,,Darcy Lewis,,,,,,
Edward Leeds,Leeds (Edward) Administrative Account,001AD00000U2k2qYAB,,,None,,qut.automation+leedsstaffii@gmail.com,Edward,,,,003AD00000Rx12iYAB,Leeds,,,Edward Leeds,,,,,,
Edward Leeds,Leeds (Edward) Administrative Account,001AD00000U2k2rYAB,,,None,,qut.automation+leedsstaff@gmail.com,Edward,,,,003AD00000Rx12jYAB,Leeds,,,Edward Leeds,,,,,,
anupam goel,goel (anupam) Administrative Account,001AD00000U8UKqYAN,,,None,,anupam.goel@qut.edu.au,anupam,,,,003AD00000S1eHrYAJ,goel,,,anupam goel,,,,,MS,
Omarzai leyh,leyh (Omarzai) Administrative Account,001AD00000U8apqYAB,,,None,,,Omarzai,,,,003AD00000S1eeQYAR,leyh,,,Omarzai leyh,,,,,MR,
Dev Contact,Contact (Dev) Administrative Account,001AD00000U8al1YAB,,,None,,,Dev,,,,003AD00000S1exnYAB,Contact,,,Dev Contact,,,,,MR,
Mark benx,benx (Mark) Administrative Account,001AD00000U8d2vYAB,,,None,,,Mark,,,,003AD00000S1gI1YAJ,benx,,,Mark benx,,,,,MR,
Classifiation dev,dev (Classifiation) Administrative Account,001AD00000U8mNyYAJ,,,None,,,Classifiation,,,,003AD00000S1t8oYAB,dev,,,Classifiation dev,,,,,MR,
Data Load user,Load user (Data) Administrative Account,001AD00000U8mPbYAJ,,,None,,,Data,,,,003AD00000S1tDiYAJ,Load user,,,Data Load user,,,,,MR,
Transcript User,User (Transcript) Administrative Account,001AD00000U8isFYAR,,,None,,,Transcript,,,,003AD00000S1tbqYAB,User,,,Transcript User,,,,,MR,
Tyson Cary,Cary (Tyson) Administrative Account,001AD00000U8muEYAR,,,None,,,Tyson,,,,003AD00000S1tvBYAR,Cary,,,Tyson Cary,,,,,MR,
peter Parker,Parker (peter) Administrative Account,001AD00000UAGtRYAX,,,None,,,peter,,,,003AD00000S2vTVYAZ,Parker,,,peter Parker,,,,,MR,
leena peter,peter (leena) Administrative Account,001AD00000UEPJpYAP,,,None,,,leena,,,,003AD00000S63eDYAR,peter,,,leena peter,,,,,MS,
Moiz,Moiz () Administrative Account,001AD00000UHyGDYA1,,,None,,moiz.syed@qut.edu.au,,,,,003AD00000S9HJFYA3,Moiz,,,Moiz,,,,,,
