Id,Lead__c,Lead__r.Name,My_Country_Of_Citizenship__c,My_Primary_BSA__c,My_Primary_NSA__c,My_Primary_Study_Level__c,Name
a1mAD000000LVkCYAW,00QAD00000DaJ4x2AF,Miss S4 Intl AC6 S4,Iraq,Education,Nursing,Postgraduate,MS - 001084037
a1mAD000000LVkDYAW,00QAD00000DaJ4i2AF,Miss S5 Intl AC6 S5,Iraq,,,,MS - 001084038
a1mAD000000LVkEYAW,00QAD00000DaJ4q2AF,Miss Intl AC7,,Education,,Higher Degree Research,MS - 001084039
a1mAD000000LVkFYAW,00QAD00000DaJ4y2AF,Miss P DOM AC82,,,,,MS - 001084040
a1mAD000000LVlZYAW,,,,Health,,Postgraduate,MS - 001084041
a1mAD000000LVlaYAG,,,,Engineering,,Postgraduate,MS - 001084042
a1mAD000000LVlbYAG,,,,Business,,Postgraduate,MS - 001084043
a1mAD000000LVlcYAG,,,Australia,Education,,Undergraduate,MS - 001084044
a1mAD000000LVldYAG,,,,,,,MS - 001084045
a1mAD000000LVleYAG,,,,,,,MS - 001084046
a1mAD000000LVlfYAG,,,,,,,MS - 001084047
a1mAD000000LVlgYAG,,,,,,Postgraduate,MS - 001084048
a1mAD000000LVlhYAG,,,,,,,MS - 001084049
a1mAD000000LVliYAG,,,,,,,MS - 001084050
a1mAD000000LVljYAG,,,,,,,MS - 001084051
a1mAD000000LVlkYAG,,,,,,,MS - 001084052
a1mAD000000LVllYAG,,,Australia,Business,,,MS - 001084053
a1mAD000000LVlmYAG,,,Australia,Education,Early Childhood,Undergraduate,MS - 001084054
a1mAD000000LVlnYAG,,,Australia,Education,,Postgraduate,MS - 001084055
a1mAD000000LVloYAG,,,Iraq,Education,Nursing,Postgraduate,MS - 001084056
a1mAD000000LVlpYAG,,,Iraq,,,,MS - 001084057
a1mAD000000LVlqYAG,,,,Education,,Higher Degree Research,MS - 001084058
a1mAD000000LVlrYAG,,,,,,,MS - 001084059
a1mAD000000LfBRYA0,,,,,,,MS - 001084060
a1mAD000000LfD3YAK,,,India,,,Postgraduate,MS - 001084061
a1mAD000000LfEfYAK,,,Australia,,,Undergraduate,MS - 001084062
a1mAD000000LfGHYA0,,,Sri Lanka,,,Undergraduate,MS - 001084063
a1mAD000000LfY1YAK,,,Nigeria,,,Postgraduate,MS - 001084064
a1mAD000000LfZdYAK,,,,,,,MS - 001084065
a1mAD000000LfbFYAS,,,,,,,MS - 001084066
a1mAD000000LfcrYAC,,,Saudi Arabia,,,Postgraduate,MS - 001084067
a1mAD000000LhtBYAS,00QAD00000DdM4Q2AV,Lead Dev,,,,,MS - 001084068
a1mAD000000LhunYAC,00QAD00000DdN0T2AV,QUT lead,,,,,MS - 001084069
a1mAD000000LhwPYAS,,,Bangladesh,,,Undergraduate,MS - 001084070
a1mAD000000LptxYAC,,,India,,,Undergraduate,MS - 001084071
a1mAD000000LxOTYA0,,,,,,,MS - 001084072
